dme:Dmel_CG10000	NP_651630
dme:Dmel_CG10001	NP_001247352
dme:Dmel_CG10002	NP_001163762
dme:Dmel_CG10005	NP_001262491
dme:Dmel_CG10006	NP_001097608
dme:Dmel_CG10007	NP_001303462
dme:Dmel_CG10009	NP_651622
dme:Dmel_CG10011	NP_651624
dme:Dmel_CG10013	NP_650175
dme:Dmel_CG10014	NP_650164
dme:Dmel_CG10016	NP_536788
dme:Dmel_CG10018	NP_649548
dme:Dmel_CG10019	NP_001368961
dme:Dmel_CG10021	NP_001245861
dme:Dmel_CG10023	NP_001137718
dme:Dmel_CG10026	NP_001260581
dme:Dmel_CG10029	NP_649716
dme:Dmel_CG10031	NP_608802
dme:Dmel_CG10033	NP_001014464
dme:Dmel_CG10034	NP_001260582
dme:Dmel_CG10035	NP_001287304
dme:Dmel_CG10036	NP_001097388
dme:Dmel_CG10037	NP_001286957
dme:Dmel_CG10038	NP_650176
dme:Dmel_CG1004	NP_001261255
dme:Dmel_CG10041	NP_650177
dme:Dmel_CG10042	NP_731688
dme:Dmel_CG10043	NP_001097184
dme:Dmel_CG10045	NP_001034042
dme:Dmel_CG10047	NP_477464
dme:Dmel_CG10050	NP_649713
dme:Dmel_CG10051	NP_611414
dme:Dmel_CG10052	NP_726006
dme:Dmel_CG10053	NP_001287206
dme:Dmel_CG10055	NP_649703
dme:Dmel_CG10059	NP_649702
dme:Dmel_CG10060	NP_477502
dme:Dmel_CG10061	NP_649701
dme:Dmel_CG10062	NP_001163202
dme:Dmel_CG10063	NP_648068
dme:Dmel_CG10064	NP_648065
dme:Dmel_CG10067	NP_523800
dme:Dmel_CG10068	NP_649695
dme:Dmel_CG10069	NP_001286671
dme:Dmel_CG1007	NP_523876
dme:Dmel_CG10071	NP_477203
dme:Dmel_CG10072	NP_476980
dme:Dmel_CG10073	NP_001261090
dme:Dmel_CG10075	NP_648064
dme:Dmel_CG10076	NP_724254
dme:Dmel_CG10077	NP_001261491
dme:Dmel_CG10078	NP_523949
dme:Dmel_CG10079	NP_476759
dme:Dmel_CG10080	NP_001246451
dme:Dmel_CG10081	NP_001261091
dme:Dmel_CG10082	NP_611595
dme:Dmel_CG10083	NP_648657
dme:Dmel_CG10084	NP_609976
dme:Dmel_CG10086	NP_649736
dme:Dmel_CG10089	NP_001261803
dme:Dmel_CG1009	NP_001246546
dme:Dmel_CG10090	NP_001287301
dme:Dmel_CG10091	NP_001287303
dme:Dmel_CG10092	NP_001262351
dme:Dmel_CG10093	NP_650170
dme:Dmel_CG10094	NP_650169
dme:Dmel_CG10095	NP_001287299
dme:Dmel_CG10096	NP_001027183
dme:Dmel_CG10097	NP_001027182
dme:Dmel_CG10098	NP_649694
dme:Dmel_CG10101	NP_649720
dme:Dmel_CG10103	NP_001261483
dme:Dmel_CG10104	NP_610961
dme:Dmel_CG10105	NP_610963
dme:Dmel_CG10106	NP_001260753
dme:Dmel_CG10107	NP_001286956
dme:Dmel_CG10108	NP_725394
dme:Dmel_CG10110	NP_995833
dme:Dmel_CG10112	NP_610968
dme:Dmel_CG10113	NP_649721
dme:Dmel_CG10116	NP_648652
dme:Dmel_CG10117	NP_001260971
dme:Dmel_CG10118	NP_001286955
dme:Dmel_CG10119	NP_523742
dme:Dmel_CG10120	NP_001262509
dme:Dmel_CG10121	NP_648053
dme:Dmel_CG10122	NP_523743
dme:Dmel_CG10123	NP_523602
dme:Dmel_CG10124	NP_648052
dme:Dmel_CG10125	NP_001261478
dme:Dmel_CG10126	NP_650234
dme:Dmel_CG10128	NP_476764
dme:Dmel_CG10129	NP_523947
dme:Dmel_CG10130	NP_652037
dme:Dmel_CG10131	NP_610974
dme:Dmel_CG10132	NP_001286085
dme:Dmel_CG10133	NP_648651
dme:Dmel_CG10134	NP_001189214
