ame	ncbi	ko	amepathway	amepathname
100049551	NP_001091704	K27889		
100126690	NP_001104182			
100174948	NP_001124510			
100187599	NP_001127805			
100187709	NP_001127843	K10524	ame00760	Nicotinate and nicotinamide metabolism - Apis mellifera (honey bee)
100187709	NP_001127843	K10524	ame01100	
100188904	NP_001128141			
100188940	NP_001128194			
100188973	NP_001128414			
100191002	NP_001129381	K02928	ame03010	Ribosome - Apis mellifera (honey bee)
100192200	NP_001129679			
100192201	NP_001129680			
100192202	NP_001129681			
100216325	NP_001135436	K17696	ame04350	TGF-beta signaling pathway - Apis mellifera (honey bee)
100216489	NP_001136079			
100217360	NP_001136165			
100302106	NP_001155259	K03957	ame00190	Oxidative phosphorylation - Apis mellifera (honey bee)
100302106	NP_001155259	K03957	ame01100	
100302584	NP_001157189	K20699	ame04624	Toll and Imd signaling pathway - Apis mellifera (honey bee)
100328599	NP_001164522	K00558	ame00270	Cysteine and methionine metabolism - Apis mellifera (honey bee)
100328599	NP_001164522	K00558	ame01100	
100359409	NP_001165874	K02267	ame00190	Oxidative phosphorylation - Apis mellifera (honey bee)
100359409	NP_001165874	K02267	ame01100	
100359410	NP_001165876	K02268	ame00190	Oxidative phosphorylation - Apis mellifera (honey bee)
100359410	NP_001165876	K02268	ame01100	
100379261	NP_001166189			
100576082	XP_016771904			
100576085	XP_026298573	K07901	ame04140	Autophagy - animal - Apis mellifera (honey bee)
100576085	XP_026298573	K07901	ame04144	Endocytosis - Apis mellifera (honey bee)
100576088	XP_026302044	K17402		
100576090	NP_001257752			
100576093	XP_006558247	K25686		
100576096	XP_026297964			
100576097	XP_026301346			
100576098	XP_026295387	K10293		
100576099	XP_006564549	K01017	ame00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Apis mellifera (honey bee)
100576100	XP_016767406	K17579		
100576101	XP_003251121	K16755		
100576104	XP_003251352	K11666	ame03082	ATP-dependent chromatin remodeling - Apis mellifera (honey bee)
100576106	XP_003251506			
100576110	XP_006557379	K09232		
100576115	XP_026301415	K01672	ame00910	Nitrogen metabolism - Apis mellifera (honey bee)
100576115	XP_026301415	K01672	ame01100	
100576116	XP_003250417			
100576118	XP_006568992			
100576121	XP_003249151	K25687		
100576125	XP_006562710	K14315	ame03013	Nucleocytoplasmic transport - Apis mellifera (honey bee)
100576126	XP_026297916			
100576128	XP_026300973	K25439		
100576129	XP_003250685			
100576130	XP_026299101			
100576131	XP_006569625	K09228		
100576132	XP_003251757			
100576134	XP_006557857			
100576135	XP_026295988	K05198	ame04080	Neuroactive ligand-receptor interaction - Apis mellifera (honey bee)
100576136	XP_016771932			
100576140	XP_003250480			
100576143	XP_003251662	K16586		
100576146	XP_016768578	K14320	ame03013	Nucleocytoplasmic transport - Apis mellifera (honey bee)
100576147	XP_006559945			
100576150	XP_003250331	K25648		
100576151	XP_003250418	K11316		
100576152	XP_003250708			
100576153	XP_026299403	K22984		
100576155	XP_026296577			
100576157	XP_026299858			
100576159	XP_026301425			
100576162	XP_003250108			
100576163	XP_003250155			
100576165	XP_003250517			
100576167	XP_016769530	K08471		
100576169	XP_003251700	K19599		
100576170	XP_003251865			
100576172	XP_016768115			
100576174	XP_003249688			
100576176	XP_016770410	K03131	ame03022	Basal transcription factors - Apis mellifera (honey bee)
100576179	XP_026297187			
100576182	XP_003249871			
100576184	XP_003250709			
100576185	XP_026299720	K16725		
100576186	XP_006566668	K00827	ame00250	Alanine, aspartate and glutamate metabolism - Apis mellifera (honey bee)
100576186	XP_006566668	K00827	ame00260	Glycine, serine and threonine metabolism - Apis mellifera (honey bee)
100576186	XP_006566668	K00827	ame00270	Cysteine and methionine metabolism - Apis mellifera (honey bee)
100576186	XP_006566668	K00827	ame00280	Valine, leucine and isoleucine degradation - Apis mellifera (honey bee)
100576186	XP_006566668	K00827	ame01100	
100576186	XP_006566668	K00827	ame01210	2-Oxocarboxylic acid metabolism - Apis mellifera (honey bee)
100576187	XP_026298571	K10636	ame04137	Mitophagy - animal - Apis mellifera (honey bee)
100576187	XP_026298571	K10636	ame04141	Protein processing in endoplasmic reticulum - Apis mellifera (honey bee)
100576192	XP_003249953			
100576193	XP_003250171			
100576194	XP_003250310	K09402		
100576195	XP_003250551	K27339		
100576196	XP_006565642			
100576198	XP_003251162			
100576212	XP_003249267	K22984		
100576215	XP_003250493	K09073		
100576216	XP_016767897			
100576217	XP_026299157			
100576220	XP_003249297	K09362		
100576221	XP_026301142			
100576222	XP_003250109	K18486		
100576223	XP_026299180			
100576224	XP_006563697	K01672	ame00910	Nitrogen metabolism - Apis mellifera (honey bee)
100576224	XP_006563697	K01672	ame01100	
100576225	XP_016770562			
100576226	XP_006565007			
100576227	XP_003250613			
100576231	XP_026302063			
100576233	XP_026297166			
100576236	XP_003250191			
100576242	XP_026295559	K25461		
100576246	XP_003249268	K22984		
100576247	XP_006559288	K02375	ame04150	mTOR signaling pathway - Apis mellifera (honey bee)
100576247	XP_006559288	K02375	ame04310	Wnt signaling pathway - Apis mellifera (honey bee)
100576248	XP_026300423			
100576249	XP_016766410	K13701		
100576251	XP_006565834			
100576253	XP_003251207			
100576258	XP_003251741			
100576260	XP_006557735			
100576261	XP_016769520	K09228		
100576262	XP_006560760			
100576263	XP_026297483			
100576265	XP_026300706			
100576266	XP_003250614	K13196	ame03082	ATP-dependent chromatin remodeling - Apis mellifera (honey bee)
100576270	XP_003251902	K09022		
100576271	XP_006561695			
100576272	XP_003249995	K15323		
100576273	XP_003250259			
100576274	XP_003250445			
100576279	XP_003251544			
100576282	XP_006558389	K22984		
100576284	XP_003250738			
100576286	XP_026299728	K03037	ame03050	Proteasome - Apis mellifera (honey bee)
100576288	XP_006568171			
100576289	XP_003249427	K15324		
100576290	XP_006561020	K24723	ame04814	Motor proteins - Apis mellifera (honey bee)
100576291	XP_016767973			
100576293	XP_003250662	K09219		
100576296	XP_003251824	K01262		
100576298	XP_006557365			
100576300	XP_016769141			
100576304	XP_026297186			
100576307	XP_003251568	K09210		
100576320	XP_006561220			
100576321	XP_026295288			
