tca	ncbi	ko	tcapathway	tcapathname
100124592	NP_001096055	K18966	tca00410	beta-Alanine metabolism - Tribolium castaneum (red flour beetle)
100124592	NP_001096055	K18966	tca00430	Taurine and hypotaurine metabolism - Tribolium castaneum (red flour beetle)
100124592	NP_001096055	K18966	tca00770	Pantothenate and CoA biosynthesis - Tribolium castaneum (red flour beetle)
100124592	NP_001096055	K18966	tca01100	
100126069	NP_001103253			
100126689	NP_001104012			
100135757	NP_001107780	K27890		
100135758	NP_001128425	K18420		
100135764	NP_001107797			
100141516	XP_015835225	K26207		
100141517	XP_001811274			
100141518	XP_001809480			
100141520	XP_001813251	K01540	tca04820	Cytoskeleton in muscle cells - Tribolium castaneum (red flour beetle)
100141521	XP_008198009	K11791		
100141522	XP_008191538			
100141523	XP_001812480	K02268	tca00190	Oxidative phosphorylation - Tribolium castaneum (red flour beetle)
100141523	XP_001812480	K02268	tca01100	
100141524	XP_001812896			
100141525	XP_001816349			
100141526	XP_008195997	K04676	tca04350	TGF-beta signaling pathway - Tribolium castaneum (red flour beetle)
100141526	XP_008195997	K04676	tca04391	Hippo signaling pathway - fly - Tribolium castaneum (red flour beetle)
100141527	XP_015833018	K11653	tca03082	ATP-dependent chromatin remodeling - Tribolium castaneum (red flour beetle)
100141528	NP_001164302			
100141529	XP_001810287			
100141530	XP_001812338	K13504	tca04130	SNARE interactions in vesicular transport - Tribolium castaneum (red flour beetle)
100141531	XP_015837681			
100141534	XP_001813096	K08471		
100141535	XP_001816435			
100141538	XP_008191315			
100141539	XP_001810355			
100141540	XP_008190894			
100141541	XP_001816525			
100141542	XP_001815237	K07299	tca04148	Efferocytosis - Tribolium castaneum (red flour beetle)
100141543	XP_008200652	K12323	tca00230	Purine metabolism - Tribolium castaneum (red flour beetle)
100141543	XP_008200652	K12323	tca01100	
100141545	XP_008201374	K01672	tca00910	Nitrogen metabolism - Tribolium castaneum (red flour beetle)
100141545	XP_008201374	K01672	tca01100	
100141546	XP_015834268	K19947		
100141547	XP_001809581	K09228		
100141549	XP_001813701	K10606	tca03460	Fanconi anemia pathway - Tribolium castaneum (red flour beetle)
100141549	XP_001813701	K10606	tca04120	Ubiquitin mediated proteolysis - Tribolium castaneum (red flour beetle)
100141551	XP_001812569	K09228		
100141552	XP_008194583			
100141555	XP_001811600			
100141557	XP_015834339	K14861		
100141559	XP_001812177	K24684		
100141563	XP_001812840			
100141565	XP_008191760	K09407		
100141567	XP_008191356			
100141568	XP_008191906			
100141569	XP_008194955			
100141570	XP_001812669	K16750		
100141571	NP_001155258	K03957	tca00190	Oxidative phosphorylation - Tribolium castaneum (red flour beetle)
100141571	NP_001155258	K03957	tca01100	
100141572	XP_001813105	K07888	tca04137	Mitophagy - animal - Tribolium castaneum (red flour beetle)
100141572	XP_001813105	K07888	tca04144	Endocytosis - Tribolium castaneum (red flour beetle)
100141572	XP_001813105	K07888	tca04145	Phagosome - Tribolium castaneum (red flour beetle)
100141572	XP_001813105	K07888	tca04148	Efferocytosis - Tribolium castaneum (red flour beetle)
100141573	XP_001812890	K23402	tca04310	Wnt signaling pathway - Tribolium castaneum (red flour beetle)
100141574	NP_001161925	K08471		
100141575	XP_008199316	K01326		
100141576	XP_001811865			
100141577	XP_001813294	K22420		
100141578	XP_001811946	K24799		
100141580	XP_015839850			
100141581	XP_008196845			
100141582	XP_001812636			
100141583	XP_001814766	K25770		
100141584	XP_015836206	K08471		
100141585	XP_008192271			
100141587	XP_008201062	K01312	tca04080	Neuroactive ligand-receptor interaction - Tribolium castaneum (red flour beetle)
100141588	XP_001814375			
100141592	XP_008197690	K27237	tca04711	Circadian rhythm - fly - Tribolium castaneum (red flour beetle)
100141596	XP_001811535	K00731	tca00512	Mucin type O-glycan biosynthesis - Tribolium castaneum (red flour beetle)
100141596	XP_001811535	K00731	tca00514	Other types of O-glycan biosynthesis - Tribolium castaneum (red flour beetle)
100141596	XP_001811535	K00731	tca01100	
100141597	XP_008191982			
100141598	XP_001808239			
100141599	XP_001812376			
100141600	XP_001812453			
100141601	XP_001814818			
100141602	XP_001812872	K16600		
100141603	XP_015835644	K08471		
100141604	XP_001814386			
100141605	XP_001816493			
100141606	XP_001807073			
100141608	XP_015834668			
