tca	ncbi	ko	pathway	pathname
100124592	NP_001096055	K18966	map00410	beta-Alanine metabolism
100124592	NP_001096055	K18966	map00430	Taurine and hypotaurine metabolism
100124592	NP_001096055	K18966	map00770	Pantothenate and CoA biosynthesis
100124592	NP_001096055	K18966	map01100	
100124592	NP_001096055	K18966	map01110	Biosynthesis of secondary metabolites
100126069	NP_001103253			
100126689	NP_001104012			
100135757	NP_001107780	K27890		
100135758	NP_001128425	K18420		
100135764	NP_001107797			
100141516	XP_015835225	K26207	map04024	cAMP signaling pathway
100141516	XP_015835225	K26207	map04261	Adrenergic signaling in cardiomyocytes
100141517	XP_001811274			
100141518	XP_001809480			
100141520	XP_001813251	K01540	map04022	cGMP-PKG signaling pathway
100141520	XP_001813251	K01540	map04024	cAMP signaling pathway
100141520	XP_001813251	K01540	map04260	Cardiac muscle contraction
100141520	XP_001813251	K01540	map04261	Adrenergic signaling in cardiomyocytes
100141520	XP_001813251	K01540	map04820	Cytoskeleton in muscle cells
100141520	XP_001813251	K01540	map04911	Insulin secretion
100141520	XP_001813251	K01540	map04918	Thyroid hormone synthesis
100141520	XP_001813251	K01540	map04919	Thyroid hormone signaling pathway
100141520	XP_001813251	K01540	map04925	Aldosterone synthesis and secretion
100141520	XP_001813251	K01540	map04960	Aldosterone-regulated sodium reabsorption
100141520	XP_001813251	K01540	map04961	Endocrine and other factor-regulated calcium reabsorption
100141520	XP_001813251	K01540	map04964	Proximal tubule bicarbonate reclamation
100141520	XP_001813251	K01540	map04970	Salivary secretion
100141520	XP_001813251	K01540	map04971	Gastric acid secretion
100141520	XP_001813251	K01540	map04972	Pancreatic secretion
100141520	XP_001813251	K01540	map04973	Carbohydrate digestion and absorption
100141520	XP_001813251	K01540	map04974	Protein digestion and absorption
100141520	XP_001813251	K01540	map04976	Bile secretion
100141520	XP_001813251	K01540	map04978	Mineral absorption
100141521	XP_008198009	K11791		
100141522	XP_008191538			
100141523	XP_001812480	K02268	map00190	Oxidative phosphorylation
100141523	XP_001812480	K02268	map01100	
100141523	XP_001812480	K02268	map04260	Cardiac muscle contraction
100141523	XP_001812480	K02268	map04714	Thermogenesis
100141523	XP_001812480	K02268	map04932	Non-alcoholic fatty liver disease
100141523	XP_001812480	K02268	map05010	Alzheimer disease
100141523	XP_001812480	K02268	map05012	Parkinson disease
100141523	XP_001812480	K02268	map05014	Amyotrophic lateral sclerosis
100141523	XP_001812480	K02268	map05016	Huntington disease
100141523	XP_001812480	K02268	map05020	Prion disease
100141523	XP_001812480	K02268	map05022	Pathways of neurodegeneration - multiple diseases
100141523	XP_001812480	K02268	map05208	Chemical carcinogenesis - reactive oxygen species
100141523	XP_001812480	K02268	map05415	Diabetic cardiomyopathy
100141524	XP_001812896			
100141525	XP_001816349			
100141526	XP_008195997	K04676	map04350	TGF-beta signaling pathway
100141526	XP_008195997	K04676	map04390	Hippo signaling pathway
100141526	XP_008195997	K04676	map04391	Hippo signaling pathway - fly
100141526	XP_008195997	K04676	map04550	Signaling pathways regulating pluripotency of stem cells
100141526	XP_008195997	K04676	map05202	Transcriptional misregulation in cancer
100141527	XP_015833018	K11653	map03082	ATP-dependent chromatin remodeling
100141527	XP_015833018	K11653	map04714	Thermogenesis
100141527	XP_015833018	K11653	map05225	Hepatocellular carcinoma
100141528	NP_001164302			
100141529	XP_001810287			
100141530	XP_001812338	K13504	map04130	SNARE interactions in vesicular transport
100141530	XP_001812338	K13504	map04721	Synaptic vesicle cycle
100141530	XP_001812338	K13504	map04911	Insulin secretion
100141530	XP_001812338	K13504	map04962	Vasopressin-regulated water reabsorption
100141530	XP_001812338	K13504	map04970	Salivary secretion
100141531	XP_015837681			
100141534	XP_001813096	K08471		
100141535	XP_001816435			
100141538	XP_008191315			
100141539	XP_001810355			
100141540	XP_008190894			
100141541	XP_001816525			
100141542	XP_001815237	K07299	map04066	HIF-1 signaling pathway
100141542	XP_001815237	K07299	map04148	Efferocytosis
100141542	XP_001815237	K07299	map04911	Insulin secretion
100141542	XP_001815237	K07299	map04919	Thyroid hormone signaling pathway
100141542	XP_001815237	K07299	map04920	Adipocytokine signaling pathway
100141542	XP_001815237	K07299	map04922	Glucagon signaling pathway
100141542	XP_001815237	K07299	map04931	Insulin resistance
100141542	XP_001815237	K07299	map04976	Bile secretion
100141542	XP_001815237	K07299	map05166	Human T-cell leukemia virus 1 infection
100141542	XP_001815237	K07299	map05200	Pathways in cancer
100141542	XP_001815237	K07299	map05211	Renal cell carcinoma
100141542	XP_001815237	K07299	map05230	Central carbon metabolism in cancer
100141542	XP_001815237	K07299	map05415	Diabetic cardiomyopathy
100141543	XP_008200652	K12323	map00230	Purine metabolism
100141543	XP_008200652	K12323	map01100	
100141543	XP_008200652	K12323	map04022	cGMP-PKG signaling pathway
100141543	XP_008200652	K12323	map04024	cAMP signaling pathway
100141543	XP_008200652	K12323	map04270	Vascular smooth muscle contraction
100141543	XP_008200652	K12323	map04714	Thermogenesis
100141543	XP_008200652	K12323	map04921	Oxytocin signaling pathway
100141543	XP_008200652	K12323	map04923	Regulation of lipolysis in adipocytes
100141543	XP_008200652	K12323	map04924	Renin secretion
100141543	XP_008200652	K12323	map04925	Aldosterone synthesis and secretion
100141545	XP_008201374	K01672	map00910	Nitrogen metabolism
100141545	XP_008201374	K01672	map01100	
100141546	XP_015834268	K19947		
100141547	XP_001809581	K09228	map05168	Herpes simplex virus 1 infection
100141549	XP_001813701	K10606	map03460	Fanconi anemia pathway
100141549	XP_001813701	K10606	map04120	Ubiquitin mediated proteolysis
100141551	XP_001812569	K09228	map05168	Herpes simplex virus 1 infection
100141552	XP_008194583			
100141555	XP_001811600			
100141557	XP_015834339	K14861		
100141559	XP_001812177	K24684		
100141563	XP_001812840			
100141565	XP_008191760	K09407		
100141567	XP_008191356			
100141568	XP_008191906			
100141569	XP_008194955			
100141570	XP_001812669	K16750		
100141571	NP_001155258	K03957	map00190	Oxidative phosphorylation
100141571	NP_001155258	K03957	map01100	
100141571	NP_001155258	K03957	map04714	Thermogenesis
100141571	NP_001155258	K03957	map04723	Retrograde endocannabinoid signaling
100141571	NP_001155258	K03957	map04932	Non-alcoholic fatty liver disease
100141571	NP_001155258	K03957	map05010	Alzheimer disease
100141571	NP_001155258	K03957	map05012	Parkinson disease
100141571	NP_001155258	K03957	map05014	Amyotrophic lateral sclerosis
100141571	NP_001155258	K03957	map05016	Huntington disease
100141571	NP_001155258	K03957	map05020	Prion disease
100141571	NP_001155258	K03957	map05022	Pathways of neurodegeneration - multiple diseases
100141571	NP_001155258	K03957	map05208	Chemical carcinogenesis - reactive oxygen species
100141571	NP_001155258	K03957	map05415	Diabetic cardiomyopathy
100141572	XP_001813105	K07888	map04014	Ras signaling pathway
100141572	XP_001813105	K07888	map04137	Mitophagy - animal
100141572	XP_001813105	K07888	map04144	Endocytosis
100141572	XP_001813105	K07888	map04145	Phagosome
100141572	XP_001813105	K07888	map04148	Efferocytosis
100141572	XP_001813105	K07888	map04962	Vasopressin-regulated water reabsorption
100141572	XP_001813105	K07888	map05132	Salmonella infection
100141572	XP_001813105	K07888	map05146	Amoebiasis
100141572	XP_001813105	K07888	map05152	Tuberculosis
100141573	XP_001812890	K23402	map04310	Wnt signaling pathway
100141574	NP_001161925	K08471		
100141575	XP_008199316	K01326		
100141576	XP_001811865			
100141577	XP_001813294	K22420		
100141578	XP_001811946	K24799		
100141580	XP_015839850			
100141581	XP_008196845			
100141582	XP_001812636			
100141583	XP_001814766	K25770		
100141584	XP_015836206	K08471		
100141585	XP_008192271			
100141587	XP_008201062	K01312	map04080	Neuroactive ligand-receptor interaction
100141587	XP_008201062	K01312	map04972	Pancreatic secretion
100141587	XP_008201062	K01312	map04974	Protein digestion and absorption
