ame	ncbi	ko	pathway	pathname
100049551	NP_001091704	K27889		
100126690	NP_001104182			
100174948	NP_001124510			
100187599	NP_001127805			
100187709	NP_001127843	K10524	map00760	Nicotinate and nicotinamide metabolism
100187709	NP_001127843	K10524	map01100	
100188904	NP_001128141			
100188940	NP_001128194			
100188973	NP_001128414			
100191002	NP_001129381	K02928	map03010	Ribosome
100191002	NP_001129381	K02928	map05171	Coronavirus disease - COVID-19
100192200	NP_001129679			
100192201	NP_001129680			
100192202	NP_001129681			
100216325	NP_001135436	K17696	map04350	TGF-beta signaling pathway
100216489	NP_001136079			
100217360	NP_001136165			
100302106	NP_001155259	K03957	map00190	Oxidative phosphorylation
100302106	NP_001155259	K03957	map01100	
100302106	NP_001155259	K03957	map04714	Thermogenesis
100302106	NP_001155259	K03957	map04723	Retrograde endocannabinoid signaling
100302106	NP_001155259	K03957	map04932	Non-alcoholic fatty liver disease
100302106	NP_001155259	K03957	map05010	Alzheimer disease
100302106	NP_001155259	K03957	map05012	Parkinson disease
100302106	NP_001155259	K03957	map05014	Amyotrophic lateral sclerosis
100302106	NP_001155259	K03957	map05016	Huntington disease
100302106	NP_001155259	K03957	map05020	Prion disease
100302106	NP_001155259	K03957	map05022	Pathways of neurodegeneration - multiple diseases
100302106	NP_001155259	K03957	map05208	Chemical carcinogenesis - reactive oxygen species
100302106	NP_001155259	K03957	map05415	Diabetic cardiomyopathy
100302584	NP_001157189	K20699	map04624	Toll and Imd signaling pathway
100328599	NP_001164522	K00558	map00270	Cysteine and methionine metabolism
100328599	NP_001164522	K00558	map01100	
100328599	NP_001164522	K00558	map05206	MicroRNAs in cancer
100359409	NP_001165874	K02267	map00190	Oxidative phosphorylation
100359409	NP_001165874	K02267	map01100	
100359409	NP_001165874	K02267	map04260	Cardiac muscle contraction
100359409	NP_001165874	K02267	map04714	Thermogenesis
100359409	NP_001165874	K02267	map04932	Non-alcoholic fatty liver disease
100359409	NP_001165874	K02267	map05010	Alzheimer disease
100359409	NP_001165874	K02267	map05012	Parkinson disease
100359409	NP_001165874	K02267	map05014	Amyotrophic lateral sclerosis
100359409	NP_001165874	K02267	map05016	Huntington disease
100359409	NP_001165874	K02267	map05020	Prion disease
100359409	NP_001165874	K02267	map05022	Pathways of neurodegeneration - multiple diseases
100359409	NP_001165874	K02267	map05208	Chemical carcinogenesis - reactive oxygen species
100359409	NP_001165874	K02267	map05415	Diabetic cardiomyopathy
100359410	NP_001165876	K02268	map00190	Oxidative phosphorylation
100359410	NP_001165876	K02268	map01100	
100359410	NP_001165876	K02268	map04260	Cardiac muscle contraction
100359410	NP_001165876	K02268	map04714	Thermogenesis
100359410	NP_001165876	K02268	map04932	Non-alcoholic fatty liver disease
100359410	NP_001165876	K02268	map05010	Alzheimer disease
100359410	NP_001165876	K02268	map05012	Parkinson disease
100359410	NP_001165876	K02268	map05014	Amyotrophic lateral sclerosis
100359410	NP_001165876	K02268	map05016	Huntington disease
100359410	NP_001165876	K02268	map05020	Prion disease
100359410	NP_001165876	K02268	map05022	Pathways of neurodegeneration - multiple diseases
100359410	NP_001165876	K02268	map05208	Chemical carcinogenesis - reactive oxygen species
100359410	NP_001165876	K02268	map05415	Diabetic cardiomyopathy
100379261	NP_001166189			
100576082	XP_016771904			
100576085	XP_026298573	K07901	map04140	Autophagy - animal
100576085	XP_026298573	K07901	map04144	Endocytosis
100576085	XP_026298573	K07901	map04152	AMPK signaling pathway
100576085	XP_026298573	K07901	map04530	Tight junction
100576085	XP_026298573	K07901	map04972	Pancreatic secretion
100576085	XP_026298573	K07901	map05014	Amyotrophic lateral sclerosis
100576085	XP_026298573	K07901	map05022	Pathways of neurodegeneration - multiple diseases
100576088	XP_026302044	K17402		
100576090	NP_001257752			
100576093	XP_006558247	K25686		
100576096	XP_026297964			
100576097	XP_026301346			
100576098	XP_026295387	K10293		
100576099	XP_006564549	K01017	map00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
100576100	XP_016767406	K17579		
100576101	XP_003251121	K16755		
100576104	XP_003251352	K11666	map03082	ATP-dependent chromatin remodeling
100576106	XP_003251506			
100576110	XP_006557379	K09232		
100576115	XP_026301415	K01672	map00910	Nitrogen metabolism
100576115	XP_026301415	K01672	map01100	
100576116	XP_003250417			
100576118	XP_006568992			
100576121	XP_003249151	K25687		
100576125	XP_006562710	K14315	map03013	Nucleocytoplasmic transport
100576125	XP_006562710	K14315	map05014	Amyotrophic lateral sclerosis
100576126	XP_026297916			
100576128	XP_026300973	K25439		
100576129	XP_003250685			
100576130	XP_026299101			
100576131	XP_006569625	K09228	map05168	Herpes simplex virus 1 infection
100576132	XP_003251757			
100576134	XP_006557857			
100576135	XP_026295988	K05198	map04024	cAMP signaling pathway
100576135	XP_026295988	K05198	map04080	Neuroactive ligand-receptor interaction
100576135	XP_026295988	K05198	map04713	Circadian entrainment
100576135	XP_026295988	K05198	map04720	Long-term potentiation
100576135	XP_026295988	K05198	map04723	Retrograde endocannabinoid signaling
100576135	XP_026295988	K05198	map04724	Glutamatergic synapse
100576135	XP_026295988	K05198	map04728	Dopaminergic synapse
100576135	XP_026295988	K05198	map04730	Long-term depression
100576135	XP_026295988	K05198	map05014	Amyotrophic lateral sclerosis
100576135	XP_026295988	K05198	map05016	Huntington disease
100576135	XP_026295988	K05198	map05017	Spinocerebellar ataxia
100576135	XP_026295988	K05198	map05022	Pathways of neurodegeneration - multiple diseases
100576135	XP_026295988	K05198	map05030	Cocaine addiction
100576135	XP_026295988	K05198	map05031	Amphetamine addiction
100576135	XP_026295988	K05198	map05033	Nicotine addiction
100576136	XP_016771932			
100576140	XP_003250480			
100576143	XP_003251662	K16586		
100576146	XP_016768578	K14320	map03013	Nucleocytoplasmic transport
100576147	XP_006559945			
100576150	XP_003250331	K25648		
100576151	XP_003250418	K11316		
100576152	XP_003250708			
100576153	XP_026299403	K22984		
100576155	XP_026296577			
100576157	XP_026299858			
100576159	XP_026301425			
100576162	XP_003250108			
100576163	XP_003250155			
100576165	XP_003250517			
