	dme	ncbi	ko	dmepathway	dmepathname
0	Dmel_CG10001	NP_001247352	K04233		
1	Dmel_CG10002	NP_001163762	K08035	dme04213	Longevity regulating pathway - multiple species - Drosophila melanogaster (fruit fly)
2	Dmel_CG10005	NP_001262491			
3	Dmel_CG10006	NP_001097608	K14711		
4	Dmel_CG10007	NP_001303462			
5	Dmel_CG10009	NP_651622			
6	Dmel_CG10011	NP_651624	K21440		
7	Dmel_CG10013	NP_650175			
8	Dmel_CG10014	NP_650164			
9	Dmel_CG10016	NP_536788	K22535		
10	Dmel_CG10018	NP_649548	K15340		
11	Dmel_CG10019	NP_001368961			
12	Dmel_CG10021	NP_001245861	K09215		
13	Dmel_CG10023	NP_001137718	K05725	dme04148	Efferocytosis - Drosophila melanogaster (fruit fly)
14	Dmel_CG10023	NP_001137718	K05725	dme04370	VEGF signaling pathway - Drosophila melanogaster (fruit fly)
15	Dmel_CG10023	NP_001137718	K05725	dme04510	Focal adhesion - Drosophila melanogaster (fruit fly)
16	Dmel_CG10023	NP_001137718	K05725	dme04810	Regulation of actin cytoskeleton - Drosophila melanogaster (fruit fly)
17	Dmel_CG10026	NP_001260581			
18	Dmel_CG10029	NP_649716	K17264		
19	Dmel_CG10031	NP_608802			
20	Dmel_CG10033	NP_001014464	K07376	dme04270	Vascular smooth muscle contraction - Drosophila melanogaster (fruit fly)
21	Dmel_CG10033	NP_001014464	K07376	dme04540	Gap junction - Drosophila melanogaster (fruit fly)
22	Dmel_CG10034	NP_001260582			
23	Dmel_CG10035	NP_001287304			
24	Dmel_CG10036	NP_001097388	K24901		
25	Dmel_CG10037	NP_001286957	K09365		
26	Dmel_CG10038	NP_650176			
27	Dmel_CG1004	NP_001261255	K23461	dme04320	Dorso-ventral axis formation - Drosophila melanogaster (fruit fly)
28	Dmel_CG10041	NP_650177			
29	Dmel_CG10042	NP_731688	K18402		
30	Dmel_CG10043	NP_001097184			
31	Dmel_CG10045	NP_001034042	K00799	dme00480	Glutathione metabolism - Drosophila melanogaster (fruit fly)
32	Dmel_CG10045	NP_001034042	K00799	dme00980	Metabolism of xenobiotics by cytochrome P450 - Drosophila melanogaster (fruit fly)
33	Dmel_CG10045	NP_001034042	K00799	dme00982	Drug metabolism - cytochrome P450 - Drosophila melanogaster (fruit fly)
34	Dmel_CG10045	NP_001034042	K00799	dme00983	Drug metabolism - other enzymes - Drosophila melanogaster (fruit fly)
35	Dmel_CG10045	NP_001034042	K00799	dme01100	
36	Dmel_CG10047	NP_477464	K19904		
37	Dmel_CG10050	NP_649713	K05812		
38	Dmel_CG10051	NP_611414			
39	Dmel_CG10052	NP_726006			
40	Dmel_CG10053	NP_001287206			
41	Dmel_CG10055	NP_649703	K14764		
42	Dmel_CG10059	NP_649702	K22823		
43	Dmel_CG10060	NP_477502	K04630	dme04261	Adrenergic signaling in cardiomyocytes - Drosophila melanogaster (fruit fly)
44	Dmel_CG10060	NP_477502	K04630	dme04371	Apelin signaling pathway - Drosophila melanogaster (fruit fly)
45	Dmel_CG10060	NP_477502	K04630	dme04540	Gap junction - Drosophila melanogaster (fruit fly)
46	Dmel_CG10060	NP_477502	K04630	dme04914	Progesterone-mediated oocyte maturation - Drosophila melanogaster (fruit fly)
47	Dmel_CG10060	NP_477502	K04630	dme04916	Melanogenesis - Drosophila melanogaster (fruit fly)
48	Dmel_CG10061	NP_649701	K11502		
49	Dmel_CG10062	NP_001163202			
50	Dmel_CG10063	NP_648068			
51	Dmel_CG10064	NP_648065	K24728		
52	Dmel_CG10067	NP_523800	K05692	dme03082	ATP-dependent chromatin remodeling - Drosophila melanogaster (fruit fly)
53	Dmel_CG10067	NP_523800	K05692	dme04145	Phagosome - Drosophila melanogaster (fruit fly)
54	Dmel_CG10067	NP_523800	K05692	dme04210	Apoptosis - Drosophila melanogaster (fruit fly)
55	Dmel_CG10067	NP_523800	K05692	dme04391	Hippo signaling pathway - fly - Drosophila melanogaster (fruit fly)
56	Dmel_CG10067	NP_523800	K05692	dme04510	Focal adhesion - Drosophila melanogaster (fruit fly)
57	Dmel_CG10067	NP_523800	K05692	dme04520	Adherens junction - Drosophila melanogaster (fruit fly)
58	Dmel_CG10067	NP_523800	K05692	dme04530	Tight junction - Drosophila melanogaster (fruit fly)
59	Dmel_CG10067	NP_523800	K05692	dme04745	Phototransduction - fly - Drosophila melanogaster (fruit fly)
60	Dmel_CG10067	NP_523800	K05692	dme04810	Regulation of actin cytoskeleton - Drosophila melanogaster (fruit fly)
61	Dmel_CG10067	NP_523800	K05692	dme04814	Motor proteins - Drosophila melanogaster (fruit fly)
62	Dmel_CG10067	NP_523800	K05692	dme04820	Cytoskeleton in muscle cells - Drosophila melanogaster (fruit fly)
63	Dmel_CG10068	NP_649695	K23538		
64	Dmel_CG10069	NP_001286671	K13783		
65	Dmel_CG1007	NP_523876	K17696	dme04350	TGF-beta signaling pathway - Drosophila melanogaster (fruit fly)
66	Dmel_CG10071	NP_477203	K02905	dme03010	Ribosome - Drosophila melanogaster (fruit fly)
67	Dmel_CG10072	NP_476980	K00012	dme00040	Pentose and glucuronate interconversions - Drosophila melanogaster (fruit fly)
68	Dmel_CG10072	NP_476980	K00012	dme00053	Ascorbate and aldarate metabolism - Drosophila melanogaster (fruit fly)
69	Dmel_CG10072	NP_476980	K00012	dme00520	Amino sugar and nucleotide sugar metabolism - Drosophila melanogaster (fruit fly)
70	Dmel_CG10072	NP_476980	K00012	dme01100	
71	Dmel_CG10072	NP_476980	K00012	dme01240	Biosynthesis of cofactors - Drosophila melanogaster (fruit fly)
72	Dmel_CG10072	NP_476980	K00012	dme01250	Biosynthesis of nucleotide sugars - Drosophila melanogaster (fruit fly)
73	Dmel_CG10073	NP_001261090			
74	Dmel_CG10075	NP_648064	K17662		
75	Dmel_CG10076	NP_724254	K02098	dme04320	Dorso-ventral axis formation - Drosophila melanogaster (fruit fly)
