	dme	ncbi	ko	pathway	pathname
0	Dmel_CG10001	NP_001247352	K04233		
1	Dmel_CG10002	NP_001163762	K08035	map04212	Longevity regulating pathway - worm
2	Dmel_CG10002	NP_001163762	K08035	map04213	Longevity regulating pathway - multiple species
3	Dmel_CG10002	NP_001163762	K08035	map04950	Maturity onset diabetes of the young
4	Dmel_CG10005	NP_001262491			
5	Dmel_CG10006	NP_001097608	K14711	map05010	Alzheimer disease
6	Dmel_CG10006	NP_001097608	K14711	map05012	Parkinson disease
7	Dmel_CG10007	NP_001303462			
8	Dmel_CG10009	NP_651622			
9	Dmel_CG10011	NP_651624	K21440		
10	Dmel_CG10013	NP_650175			
11	Dmel_CG10014	NP_650164			
12	Dmel_CG10016	NP_536788	K22535		
13	Dmel_CG10018	NP_649548	K15340		
14	Dmel_CG10019	NP_001368961			
15	Dmel_CG10021	NP_001245861	K09215		
16	Dmel_CG10023	NP_001137718	K05725	map01522	Endocrine resistance
17	Dmel_CG10023	NP_001137718	K05725	map04012	ErbB signaling pathway
18	Dmel_CG10023	NP_001137718	K05725	map04062	Chemokine signaling pathway
19	Dmel_CG10023	NP_001137718	K05725	map04148	Efferocytosis
20	Dmel_CG10023	NP_001137718	K05725	map04151	PI3K-Akt signaling pathway
21	Dmel_CG10023	NP_001137718	K05725	map04360	Axon guidance
22	Dmel_CG10023	NP_001137718	K05725	map04370	VEGF signaling pathway
23	Dmel_CG10023	NP_001137718	K05725	map04510	Focal adhesion
24	Dmel_CG10023	NP_001137718	K05725	map04670	Leukocyte transendothelial migration
25	Dmel_CG10023	NP_001137718	K05725	map04810	Regulation of actin cytoskeleton
26	Dmel_CG10023	NP_001137718	K05725	map04935	Growth hormone synthesis, secretion and action
27	Dmel_CG10023	NP_001137718	K05725	map05100	Bacterial invasion of epithelial cells
28	Dmel_CG10023	NP_001137718	K05725	map05131	Shigellosis
29	Dmel_CG10023	NP_001137718	K05725	map05135	Yersinia infection
30	Dmel_CG10023	NP_001137718	K05725	map05146	Amoebiasis
31	Dmel_CG10023	NP_001137718	K05725	map05163	Human cytomegalovirus infection
32	Dmel_CG10023	NP_001137718	K05725	map05165	Human papillomavirus infection
33	Dmel_CG10023	NP_001137718	K05725	map05170	Human immunodeficiency virus 1 infection
34	Dmel_CG10023	NP_001137718	K05725	map05200	Pathways in cancer
35	Dmel_CG10023	NP_001137718	K05725	map05202	Transcriptional misregulation in cancer
36	Dmel_CG10023	NP_001137718	K05725	map05205	Proteoglycans in cancer
37	Dmel_CG10023	NP_001137718	K05725	map05208	Chemical carcinogenesis - reactive oxygen species
38	Dmel_CG10023	NP_001137718	K05725	map05222	Small cell lung cancer
39	Dmel_CG10023	NP_001137718	K05725	map05417	Lipid and atherosclerosis
40	Dmel_CG10023	NP_001137718	K05725	map05418	Fluid shear stress and atherosclerosis
41	Dmel_CG10026	NP_001260581			
42	Dmel_CG10029	NP_649716	K17264		
43	Dmel_CG10031	NP_608802			
44	Dmel_CG10033	NP_001014464	K07376	map04022	cGMP-PKG signaling pathway
45	Dmel_CG10033	NP_001014464	K07376	map04270	Vascular smooth muscle contraction
46	Dmel_CG10033	NP_001014464	K07376	map04540	Gap junction
47	Dmel_CG10033	NP_001014464	K07376	map04611	Platelet activation
48	Dmel_CG10033	NP_001014464	K07376	map04713	Circadian entrainment
49	Dmel_CG10033	NP_001014464	K07376	map04714	Thermogenesis
50	Dmel_CG10033	NP_001014464	K07376	map04730	Long-term depression
51	Dmel_CG10033	NP_001014464	K07376	map04740	Olfactory transduction
52	Dmel_CG10033	NP_001014464	K07376	map04923	Regulation of lipolysis in adipocytes
53	Dmel_CG10033	NP_001014464	K07376	map04970	Salivary secretion
54	Dmel_CG10034	NP_001260582			
55	Dmel_CG10035	NP_001287304			
56	Dmel_CG10036	NP_001097388	K24901		
57	Dmel_CG10037	NP_001286957	K09365		
58	Dmel_CG10038	NP_650176			
59	Dmel_CG1004	NP_001261255	K23461	map04320	Dorso-ventral axis formation
60	Dmel_CG10041	NP_650177			
61	Dmel_CG10042	NP_731688	K18402		
62	Dmel_CG10043	NP_001097184			
63	Dmel_CG10045	NP_001034042	K00799	map00480	Glutathione metabolism
64	Dmel_CG10045	NP_001034042	K00799	map00980	Metabolism of xenobiotics by cytochrome P450
65	Dmel_CG10045	NP_001034042	K00799	map00982	Drug metabolism - cytochrome P450
66	Dmel_CG10045	NP_001034042	K00799	map00983	Drug metabolism - other enzymes
67	Dmel_CG10045	NP_001034042	K00799	map01100	
68	Dmel_CG10045	NP_001034042	K00799	map01524	Platinum drug resistance
69	Dmel_CG10045	NP_001034042	K00799	map04212	Longevity regulating pathway - worm
70	Dmel_CG10045	NP_001034042	K00799	map05200	Pathways in cancer
71	Dmel_CG10045	NP_001034042	K00799	map05204	Chemical carcinogenesis - DNA adducts
72	Dmel_CG10045	NP_001034042	K00799	map05207	Chemical carcinogenesis - receptor activation
73	Dmel_CG10045	NP_001034042	K00799	map05208	Chemical carcinogenesis - reactive oxygen species
74	Dmel_CG10045	NP_001034042	K00799	map05225	Hepatocellular carcinoma
75	Dmel_CG10045	NP_001034042	K00799	map05418	Fluid shear stress and atherosclerosis
76	Dmel_CG10047	NP_477464	K19904		
77	Dmel_CG10050	NP_649713	K05812		
78	Dmel_CG10051	NP_611414			
79	Dmel_CG10052	NP_726006			
80	Dmel_CG10053	NP_001287206			
81	Dmel_CG10055	NP_649703	K14764		
82	Dmel_CG10059	NP_649702	K22823		
83	Dmel_CG10060	NP_477502	K04630	map04015	Rap1 signaling pathway
84	Dmel_CG10060	NP_477502	K04630	map04022	cGMP-PKG signaling pathway
85	Dmel_CG10060	NP_477502	K04630	map04024	cAMP signaling pathway
86	Dmel_CG10060	NP_477502	K04630	map04062	Chemokine signaling pathway
