K14018	dme:Dmel_CG5105
K02731	dme:Dmel_CG3422
K02918	dme:Dmel_CG4111
K01940	dme:Dmel_CG1315
K02739	dme:Dmel_CG18341
K03125	dme:Dmel_CG17603
K00600	dme:Dmel_CG3011
K00008	dme:Dmel_CG1982
K03165	dme:Dmel_CG3458
K03064	dme:Dmel_CG3455
K02936	dme:Dmel_CG3314
K02905	dme:Dmel_CG10071
K02880	dme:Dmel_CG3203
K01444	dme:Dmel_CG10474
K00626	dme:Dmel_CG10932
K02955	dme:Dmel_CG1527
K01889	dme:Dmel_CG2263
K00072	dme:Dmel_CG12117
K01596	dme:Dmel_CG10924
K03514	dme:Dmel_CG11265
K01672	dme:Dmel_CG11284
K01074	dme:Dmel_CG12108
K01719	dme:Dmel_CG1885
K00207	dme:Dmel_CG2194
K02979	dme:Dmel_CG2998
K02134	dme:Dmel_CG2968
K00088	dme:Dmel_CG1799
K01057	dme:Dmel_CG17333
K00453	dme:Dmel_CG2155
K00726	dme:Dmel_CG13431
K03063	dme:Dmel_CG16916
K01866	dme:Dmel_CG16912
K01875	dme:Dmel_CG17259
K02266	dme:Dmel_CG17280
K02734	dme:Dmel_CG17301
K00799	dme:Dmel_CG17530
K01915	dme:Dmel_CG1743
K03006	dme:Dmel_CG1554
K00799	dme:Dmel_CG17534
K00717	dme:Dmel_CG2448
K01689	dme:Dmel_CG17654
K00688	dme:Dmel_CG7254
K00560	dme:Dmel_CG3181
K00927	dme:Dmel_CG3127
K03240	dme:Dmel_CG3806
K02736	dme:Dmel_CG12000
K03014	dme:Dmel_CG1163
K02917	dme:Dmel_CG2099
K01371	dme:Dmel_CG4847
K01974	dme:Dmel_CG4061
K00033	dme:Dmel_CG3724
K02524	dme:Dmel_CG3218
K02149	dme:Dmel_CG8310
K02359	dme:Dmel_CG9659
K03248	dme:Dmel_CG8636
K00699	dme:Dmel_CG6633
K02975	dme:Dmel_CG6684
K01875	dme:Dmel_CG4938
K01191	dme:Dmel_CG4606
K00658	dme:Dmel_CG5214
K03253	dme:Dmel_CG4878
K02896	dme:Dmel_CG6764
K03126	dme:Dmel_CG17358
K02264	dme:Dmel_CG14724
K02943	dme:Dmel_CG4918
K03252	dme:Dmel_CG4954
K03143	dme:Dmel_CG5041
K03262	dme:Dmel_CG9177
K04688	dme:Dmel_CG10539
K00888	dme:Dmel_CG10260
K02633	dme:Dmel_CG2647
K03510	dme:Dmel_CG7602
K02270	dme:Dmel_CG9603
